region,year,quarter,gdp
Russian Federation,2012,2,209778.93641390686
Russian Federation,2012,3,226113.4180028839
Russian Federation,2012,4,239554.56150985655
Russian Federation,2013,1,208936.64618981592
Russian Federation,2013,2,223459.83244631664
Russian Federation,2013,3,242548.59121088663
Russian Federation,2013,4,256599.5181900641
Russian Federation,2014,1,220951.9779410573
Russian Federation,2014,2,243068.3175162811
Russian Federation,2014,3,262211.03093741613
Russian Federation,2014,4,282459.4861609759
Russian Federation,2015,1,235713.07751924545
Russian Federation,2015,2,252089.80463557199
Russian Federation,2015,3,278096.1507614011
Russian Federation,2015,4,294576.9160562479
Russian Federation,2016,1,241038.0675938993
Russian Federation,2016,2,261039.74021967407
Russian Federation,2016,3,283795.33136992896
Russian Federation,2016,4,306877.8821486054
Russian Federation,2017,1,262748.5596119297
Russian Federation,2017,2,279742.4282917982
Russian Federation,2017,3,302724.72013019375
Russian Federation,2017,4,327013.81154275296
Russian Federation,2018,1,291582.93740875705
Russian Federation,2018,2,321963.6822361056
Russian Federation,2018,3,351106.9811696167
Russian Federation,2018,4,370774.7266352076
Russian Federation,2019,1,318379.9688412537
Russian Federation,2019,2,337084.0864124755
Russian Federation,2019,3,368548.07885287725
Russian Federation,2019,4,380547.9681848491
Russian Federation,2020,1,323139.10956686136
Russian Federation,2020,2,297236.05240886466
Slovenia,2011,1,10290.404832248549
Slovenia,2011,2,11191.73022448647
Slovenia,2011,3,11037.605456271149
Slovenia,2011,4,10881.72394677678
Slovenia,2012,1,10279.747268488978
Slovenia,2012,2,10850.21971983915
Slovenia,2012,3,10785.45452468484
Slovenia,2012,4,10542.7899960054
Slovenia,2013,1,9916.33605589617
Slovenia,2013,2,10915.45337933454
Slovenia,2013,3,10948.948579721759
Slovenia,2013,4,10913.228173714408
Slovenia,2014,1,10289.35078748112
Slovenia,2014,2,11312.47690839984
Slovenia,2014,3,11346.089224872328
Slovenia,2014,4,11127.78484192905
Slovenia,2015,1,10594.43818960947
Slovenia,2015,2,11539.09653339729
Slovenia,2015,3,11683.03220219412
Slovenia,2015,4,11685.96010432587
Slovenia,2016,1,11000.01119289948
Slovenia,2016,2,12057.21809463177
Slovenia,2016,3,12146.22631943697
Slovenia,2016,4,12162.15410703369
Slovenia,2017,1,11580.204279327058
Slovenia,2017,2,12732.74367446913
Slovenia,2017,3,12901.976417684278
Slovenia,2017,4,13155.76697446437
Slovenia,2018,1,12385.962945984658
Slovenia,2018,2,13488.96223705752
Slovenia,2018,3,13860.80580778977
Slovenia,2018,4,13976.86784829234
Slovenia,2019,1,13177.9019145804
Slovenia,2019,2,14276.333678327728
Slovenia,2019,3,14626.510773285028
Slovenia,2019,4,14594.65519809159
Slovenia,2020,1,13198.397229502649
Slovenia,2020,2,12680.86124869452
South Africa,2011,1,45175.31362892965
South Africa,2011,2,46755.97587266043
South Africa,2011,3,48182.98370176776
South Africa,2011,4,49533.23958901258
South Africa,2012,1,48609.78897592471
South Africa,2012,2,50856.13648545867
South Africa,2012,3,51773.79165895506
South Africa,2012,4,52845.72845915191
South Africa,2013,1,52805.99457407396
South Africa,2013,2,55056.85801056232
South Africa,2013,3,56500.60613000477
South Africa,2013,4,57668.11123437411
South Africa,2014,1,57477.59556598536
South Africa,2014,2,58955.82780542127
South Africa,2014,3,60567.16071971735
South Africa,2014,4,61675.5385415879
South Africa,2015,1,61226.43587809359
South Africa,2015,2,63062.37970928414
South Africa,2015,3,64084.22735301177
South Africa,2015,4,65640.5851287588
South Africa,2016,1,65919.24918244913
South Africa,2016,2,67961.15064336416
South Africa,2016,3,69203.85847576581
South Africa,2016,4,70321.27442366592
South Africa,2017,1,69706.16753975203
South Africa,2017,2,72346.71156755972
South Africa,2017,3,74205.02805353687
South Africa,2017,4,75620.1564859058
South Africa,2018,1,72537.76036621392
South Africa,2018,2,75926.66248369416
South Africa,2018,3,78172.65248234423
South Africa,2018,4,79059.75615556995
South Africa,2019,1,75681.96823609415
South Africa,2019,2,79218.24010318631
South Africa,2019,3,81193.25566821005
South Africa,2019,4,82381.3145123427
South Africa,2020,1,80114.90876058627
South Africa,2020,2,67485.81797080972
Latvia,2011,1,5190.11643482532
Latvia,2011,2,5949.380015630729
