region,year,household_savings,gdp,household_debt
"Korea, Rep.",2015,,37907.460937,162.2843
"Korea, Rep.",2016,,39566.864428,174.5221
"Korea, Rep.",2017,,41000.995844,181.8061
"Korea, Rep.",2018,,42240.271393,185.1298
"Korea, Rep.",2019,,43039.059795,190.6353
Switzerland,2000,,35425.957564,173.3469
Switzerland,2001,,36482.489691,170.2871
Switzerland,2002,,37431.453345999995,177.08900000000003
Switzerland,2003,,37433.164993,186.4734
Switzerland,2004,,38886.693557,188.9306
Switzerland,2005,,40298.485989,192.0993
Switzerland,2006,,44796.853219,191.7772
Switzerland,2007,,49410.831105000005,187.179
Switzerland,2008,,52281.033368000004,185.5231
Switzerland,2009,,51572.778985000004,189.0601
Switzerland,2010,,53019.812318000004,194.8931
Switzerland,2011,,56183.81787100001,199.0119
Switzerland,2012,,57849.601723,202.1139
Switzerland,2013,,60108.54053099999,206.3262
Switzerland,2014,,61902.161739999996,210.8794
Switzerland,2015,,63938.958241,214.8933
Switzerland,2016,,65720.161893,217.7693
Switzerland,2017,,67139.04087000001,222.4132
Switzerland,2018,,69357.504185,223.0261
Brazil,2009,,13331.386494,34.68357
Brazil,2010,,14359.933544999998,48.56451
Brazil,2011,,15109.737403000001,50.80827
Brazil,2012,,15123.801479,52.33956
Brazil,2013,,15671.032119999998,53.06993000000001
Brazil,2014,,15799.570563,55.23121999999999
Brazil,2015,,14815.917618000001,54.814980000000006
Brazil,2016,,14320.429688,53.12086
Brazil,2017,,14592.101979,52.04511
Lithuania,2000,,8449.106697,3.166489
Lithuania,2001,,9440.076441,3.647975
Lithuania,2002,,10480.687377,5.748313
Lithuania,2003,,12054.516884,15.758379999999999
Colombia,2015,,13464.697977000002,43.98483
Colombia,2016,,14196.118441,46.05379
Colombia,2017,,14625.512565,46.401
Colombia,2018,,15355.003300999999,47.16065
Australia,2019,,55961.85571900001,
Austria,2019,,58942.642414,
Belgium,2019,,54897.744953999994,
Denmark,2019,,60194.514127999995,
France,2019,,49144.871038,
Germany,2019,,56305.204165999996,
Greece,2019,,31412.876601999997,
Hungary,2019,,34502.977003,
Iceland,2000,,29718.096683,
Iceland,2001,,31760.756029000004,
Iceland,2002,,32515.31575,
Iceland,2003,,32644.783202999995,
Iceland,2004,,35544.215175,
Iceland,2005,,37338.140559,
Iceland,2006,,39020.819624,
